parameter_id,category,label_ja,label_en,base_value,lower_value,upper_value,unit,distribution,distribution_parameter,include_in_psa,include_in_dsa,source_id,source_type,evidence_grade,price_year,notes
discount_rate_cost,analysis,費用の年割引率,Annual discount rate for costs,0.02,0.0,0.04,proportion/year,pert,,no,yes,E03,guideline,A,,C2H 2026 base case 2%; deterministic range 0% to 4%. Methodological discount rates are varied in DSA but fixed in PSA.
discount_rate_qaly,analysis,QALYの年割引率,Annual discount rate for QALYs,0.02,0.0,0.04,proportion/year,pert,,no,yes,E03,guideline,A,,C2H 2026 base case 2%; deterministic range 0% to 4%. Methodological discount rates are varied in DSA but fixed in PSA.
wtp_per_qaly,analysis,支払意思額,Willingness-to-pay per QALY,5000000.0,5000000.0,5000000.0,JPY/QALY,fixed,,no,no,E03,decision_reference,B,2026.0,Reference threshold used for NMB and CEAC; not a universal reimbursement rule.
pcc_horizon_months,analysis,PCCモジュールの計算期間,PCC module horizon,120.0,60.0,600.0,months,fixed,,no,no,A01,structural_assumption,D,,Ten years is long enough for the 12-month base mean duration; extended scenarios are supported. Legacy incidence-duration model only in v0.2.0.
drug_cost_pep,intervention_cost,エンシトレルビル薬剤費,Ensitrelvir acquisition cost per PEP course,49630.0,0.0,49630.0,JPY/course,fixed,,no,yes,E02,official_price,A,2026.0,"JPY 7,090/tablet multiplied by 7 tablets: 3 tablets day 1 and 1 tablet on days 2 to 5."
administration_cost_pep,intervention_cost,経口抗ウイルス薬の投薬関連費用,Oral antiviral administration cost,8100.0,4530.0,10000.0,JPY/course,pert,,yes,yes,E20,official_fee_schedule_microcost,A,2026.0,"FY2026 fee-schedule microcost for a trial-concordant face-to-face consultation, baseline antigen test, prescription, and representative pharmacy pathway. No-test and telemedicine scenarios are supplied because testing is not stated as mandatory in the Japanese label."
additional_pep_access_cost,intervention_cost,PEP導入に伴う追加アクセス費用,Additional PEP access and dispensing cost,0.0,0.0,10000.0,JPY/course,fixed,,no,yes,A02,structural_assumption,D,2026.0,"Reserved for implementation costs not captured by the itemized 2026 fee-schedule microcost, such as urgent delivery or local coordination."
p_hospital_given_symptomatic,acute_clinical,症候性COVID-19後の入院確率,Hospitalization probability conditional on symptomatic COVID-19,0.00785,0.00494,0.01298,proportion,pert,,yes,yes,E17,japanese_claims_observational,B,,Untreated high-risk Japanese outpatients had 0.785% 28-day all-cause hospitalization. The model separately applies hospitalization_attribution_fraction to acknowledge that not every admission is necessarily causally attributable to COVID-19.
hospitalization_attribution_fraction,acute_clinical,全原因入院のCOVID-19帰属割合,Fraction of observed all-cause hospitalizations attributable to COVID-19,1.0,0.0,1.0,proportion,fixed,,no,yes,A11,structural_assumption,D,,Base case links all 28-day all-cause admissions to symptomatic COVID-19; 50% and 0% structural scenarios quantify the potential optimism from this linkage. Fixed in PSA because no defensible empirical distribution was identified.
p_death_given_hospital,acute_clinical,COVID-19入院後死亡確率,In-hospital mortality conditional on COVID-19 hospitalization,0.12,0.06,0.2,proportion,pert,,yes,yes,E12,japanese_hospital_cohort,B,,12% in-hospital mortality in a Japanese claims-based inpatient cohort through January 2024. Applied only to hospitalization attributed to symptomatic COVID-19.
p_death_outpatient,acute_clinical,非入院症例の死亡確率,Mortality probability among nonhospitalized symptomatic cases,0.0,0.0,0.0,proportion,fixed,,no,no,A10,structural_assumption,C,,Publication base case permits acute COVID-19 death only after hospitalization. Legacy scenarios may override this value.
p_icu_given_hospital,acute_clinical,入院後のICU入室確率,ICU admission probability conditional on hospitalization,0.107,0.05,0.2,proportion,pert,,no,no,E04,japanese_external_model,C,,External Japanese COVID-19 model input. Legacy incidence-duration model only in v0.2.0.
p_mv_given_icu,acute_clinical,ICU入室後の人工呼吸器使用確率,Mechanical ventilation probability conditional on ICU admission,0.6454,0.4,0.8,proportion,pert,,no,no,E04,japanese_external_model,C,,External Japanese COVID-19 model input. Legacy incidence-duration model only in v0.2.0.
p_death_ward,acute_clinical,一般病棟入院中死亡確率,Inpatient mortality in general ward,0.0319,0.01,0.08,proportion,pert,,no,no,E04,japanese_external_model,C,,External Japanese COVID-19 model input. Legacy incidence-duration model only in v0.2.0.
p_death_icu_no_mv,acute_clinical,ICU非人工呼吸器症例の死亡確率,Mortality in ICU without mechanical ventilation,0.118,0.05,0.25,proportion,pert,,no,no,E04,japanese_external_model,C,,External Japanese COVID-19 model input. Legacy incidence-duration model only in v0.2.0.
p_death_icu_mv,acute_clinical,ICU人工呼吸器症例の死亡確率,Mortality in ICU with mechanical ventilation,0.118,0.05,0.3,proportion,pert,,no,no,E04,japanese_external_model,C,,External Japanese model used the same mortality for ICU with and without ventilation. The upper range is widened. Legacy incidence-duration model only in v0.2.0.
symptom_duration_outpatient_days,acute_clinical,外来症例の症状持続日数,Duration of acute symptoms in nonhospitalized cases,7.0,4.0,14.0,days,lognormal_cv,0.3,yes,yes,E04,japanese_external_model,C,,Seven days in the Japanese CEA; wider bounds used for uncertainty.
