extrapolation_id,parameter_id,target_quantity,source_population,target_population,transformation,base_value,uncertainty_strategy,direction_of_bias,residual_risk,source_id
X01,trial_symptomatic_risk,Symptomatic COVID-19 by day 10,SCORPIO-PEP high-risk subgroup,Japanese high-risk household contacts,Use arm-specific trial probabilities; PSA samples control risk and published RR.,0.02356 vs 0.09893,Published trial uncertainty plus subgroup scenario.,Unknown,Household clustering and future variant immunity may change absolute risk.,E01
X02,p_hospital_given_symptomatic,Hospitalization after symptomatic COVID-19,"Japanese high-risk diagnosed outpatients, Nov 2022 to Jul 2023",Symptomatic breakthrough COVID-19 after household PEP,"Apply untreated 28-day all-cause hospitalization risk, then multiply by hospitalization_attribution_fraction before assigning COVID-19 costs and mortality.",0.00785,PERT with 0.00494 to 0.01298 transportability range.,Likely conservative for older frail contacts; possibly high if incidental admissions included.,"All-cause outcome, employer-based claims, limited older adults, no vaccination data, and uncertain causal attribution.",E17
X03,p_death_given_hospital,Death after COVID-19 hospitalization,Japanese hospitalized cohort through Jan 2024,Future breakthrough hospitalizations in both arms,Apply observed in-hospital mortality conditional on admission.,0.12,PERT 0.06 to 0.20.,Could overestimate mortality if future cases are milder.,"Case mix, admission threshold, and treatment evolve over time.",E12
X04,remaining_qaly_if_acute_death,Lifetime QALYs lost per acute death,"Japanese late-Omicron hospitalized cohort age-sex proxy, national life table, population utilities",Deaths prevented in high-risk household contacts,"Integrate age-sex survival and EQ-5D-5L utility from an age-82, 54%-male proxy cohort at 2% annual discount.",6.4694903466693745,Age 85 and age 75 sensitivity values 5.320961 and 9.778527.,Age 82 may understate loss for younger deaths and overstate loss for older deaths.,Decedent age distribution unavailable; admission sex share used; 90+ utility carried forward; survival truncated at 105.,E19
X05,cost_hospitalization,Direct payer cost per COVID-19 hospitalization,"Single Japanese university hospital, 2021",Hospitalizations after symptomatic breakthrough COVID-19,Use all-case median cost; severe median defines upper range.,1304431,PERT 798810 to 6210607 plus cost factor 0.8 to 1.2.,Base may understate current severe or long-stay cases.,"Median versus mean, pre-Omicron period, single center, and price-year mismatch.",E08
X06,postacute_qaly_loss_per_surviving_symptomatic_case,Attributable QALY loss from months 1 to 12,302 COVID-19 cases and 77 test-negative controls in a single-clinic retrospective recall survey; median age 42 years,Surviving symptomatic breakthrough cases in high-risk contacts,"Integrate recalled control-minus-COVID EQ-5D-5L differences from months 1-3, 3-6, and 6-12; apply to each surviving symptomatic case.",0.03225,"PERT range plus scenarios excluding months 6-12, halving the total profile, and excluding all post-acute loss.",Likely favors PEP if recall/selection bias or near-ceiling control values inflate the difference; may understate burden in older or immunocompromised cases.,"No prospective pre-infection baseline, small control group, and limited transportability to high-risk household contacts.",E14
X07,administration_cost_pep,PEP delivery reimbursement,FY2026 Japanese national fee schedule,Same-day household-contact PEP pathway,"Sum face-to-face consultation, antigen test, specimen collection, interpretation, prescription, and representative pharmacy fees.",8100,No-test and telemedicine scenarios; PERT 4530 to 10000.,May omit local urgent-delivery or coordination costs.,Actual billing combinations and pharmacy categories vary.,E20
X08,postacute_cost_per_surviving_symptomatic_case,Incremental post-acute direct medical cost,No sufficiently transportable Japanese matched cost study identified,Surviving symptomatic breakthrough cases,Set to zero in payer base case and vary in explicit scenarios.,0,0 to 200000 deterministic scenarios.,Biases against PEP if post-acute care costs are positive.,Unresolved evidence gap.,A07
X09,conditional_severity_invariance,Severity conditional on breakthrough symptomatic COVID-19,No direct SCORPIO-PEP severe-outcome evidence,Both trial arms after symptomatic breakthrough,"Assume equal conditional hospitalization, mortality, and post-acute burden across arms.",equal,Structural scenarios remove mortality or post-acute components.,Direction unknown.,"PEP could modify viral kinetics or severity among breakthrough cases, but the trial had no severe events.",A10
X10,hospitalization_attribution_fraction,COVID-19-attributable hospitalization among 28-day all-cause admissions,No directly estimable Japanese source identified,Symptomatic breakthrough cases after household PEP,Base case 100%; structural scenarios 50% and 0%.,1.0,Structural scenario only; excluded from PSA.,Base case likely favors PEP if incidental admissions are common.,Unresolved causal attribution of all-cause hospitalization.,A11
X11,secondary_symptomatic_case_multiplier,First-generation downstream symptomatic cases following a direct symptomatic breakthrough case,No directly transportable Japanese estimate selected,Household contacts and their immediate downstream contacts,Base case zero; illustrative static multipliers 0.2 and 0.5 applied to direct symptomatic cases.,0.0,Structural bounding scenarios only; excluded from PSA and DSA.,Zero base case may underestimate PEP value if onward transmission is prevented.,"No dynamic force-of-infection, depletion, household clustering, timing, or immunity structure.",A12
