scenario_id,trial_population,structural_mode,perspective,primary_analysis,description_ja,description_en
base_high_risk,high_risk,symptomatic_mediation_profile,public_healthcare_payer,yes,重症化リスク因子あり。日本の実測入院率、入院死亡、生命表QALY、感染後1年EQ-5Dプロファイルを用いる投稿用主解析。,"Publication base case for high-risk household contacts using Japanese hospitalization, inpatient mortality, life-table QALYs, and a directly integrated one-year post-acute EQ-5D profile."
high_risk_no_postacute,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,感染後1年のQALY損失と直接医療費を除外する構造感度分析。,Structural sensitivity analysis excluding all post-acute QALY loss and direct medical cost.
high_risk_no_mortality,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,急性期死亡回避を除外し、症状、入院、感染後QALYのみを評価。,Structural sensitivity analysis excluding acute mortality benefit.
high_risk_symptom_only,high_risk,symptom_only,public_healthcare_payer,no,外来症状と外来費用の回避だけを含む下限シナリオ。,Lower-bound scenario limited to outpatient symptomatic illness and outpatient cost.
high_risk_face_to_face_no_test,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,対面初診と調剤を行うが、投与前検査を別途算定しない経路。,Face-to-face consultation and dispensing without separately billed pre-PEP testing.
high_risk_telemedicine_no_test,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,オンライン初診と調剤を行い、投与前検査を別途算定しない経路。,Telemedicine consultation and dispensing without separately billed pre-PEP testing.
high_risk_telemedicine_with_test,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,オンライン初診に加え、抗原検査と調剤を算定する経路。,Telemedicine consultation plus antigen testing and dispensing.
high_risk_age65_hospital_risk,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,JMDC研究の65歳以上無治療群の入院率1.298%を使用。,Uses the 1.298% hospitalization risk observed among untreated patients aged 65 years or older in the JMDC study.
high_risk_old_model_hospital_risk,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,旧日本CEAの症候性後入院率1.77%を使用。,Uses the 1.77% hospitalization risk from the earlier Japanese treatment CEA.
high_risk_immunocompromised_rr26,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,基準入院率に免疫不全患者の入院率比2.60を外挿した探索的解析。,Exploratory immunocompromised scenario applying a 2.60 hospitalization-rate multiplier to the base risk.
high_risk_postacute_cost_50k,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,生存した症候性COVID-19 1例当たり感染後直接医療費5万円。,"Adds JPY 50,000 post-acute direct medical cost per surviving symptomatic case."
high_risk_postacute_cost_100k,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,生存した症候性COVID-19 1例当たり感染後直接医療費10万円。,"Adds JPY 100,000 post-acute direct medical cost per surviving symptomatic case."
high_risk_postacute_cost_200k,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,生存した症候性COVID-19 1例当たり感染後直接医療費20万円。,"Adds JPY 200,000 post-acute direct medical cost per surviving symptomatic case."
legacy_incidence_duration,high_risk,symptomatic_mediation,public_healthcare_payer,no,v0.1のICU・人工呼吸器分岐とPCC incidence-durationモデルを再現する構造感度分析。,"Structural sensitivity analysis retaining the v0.1 ICU, ventilation, and PCC incidence-duration model."
very_high_risk,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,症候性COVID-19後の入院確率10%とする非常に高リスクな探索的解析。,Hypothetical very-high-risk scenario with 10% hospitalization conditional on symptomatic COVID-19; this value was not observed in any Japanese source used in the model.
overall_exploratory,overall,symptomatic_mediation_profile,public_healthcare_payer,no,SCORPIO-PEP全体集団の発症率と低い入院リスクを用いる探索的解析。,Exploratory overall-trial population analysis with a lower hospitalization risk.
overall_any_infection_pcc,overall,any_infection_pcc,public_healthcare_payer,no,全感染エンドポイントと無症候感染後PCCを含む旧構造の探索的解析。,Legacy exploratory model using the all-infection endpoint and PCC after asymptomatic infection.
high_risk_hospital_attribution_50pct,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,全原因入院の50%のみをCOVID-19帰属とする構造感度分析。,Structural sensitivity analysis attributing 50% of observed all-cause hospitalizations to COVID-19.
high_risk_hospital_attribution_0pct,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,全原因入院をCOVID-19に帰属させず、入院・死亡便益を除外する構造感度分析。,Structural sensitivity analysis attributing none of the all-cause hospitalizations to COVID-19.
high_risk_malignancy_or3941,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,日本高リスク外来研究の悪性腫瘍OR 3.941を基準入院率に外挿。,Exploratory malignancy scenario using the Japanese outpatient odds ratio of 3.941.
high_risk_renal_or2003,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,日本高リスク外来研究の腎疾患OR 2.003を基準入院率に外挿。,Exploratory renal-disease scenario using the Japanese outpatient odds ratio of 2.003.
high_risk_immunosuppressive_or1637,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,日本高リスク外来研究の免疫抑制薬使用OR 1.637を基準入院率に外挿。,Exploratory immunosuppressive-drug scenario using the Japanese outpatient odds ratio of 1.637.
high_risk_bcell_depleting_airr510,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,国内claims研究のB細胞枯渇療法aIRR 5.10を基準入院率に外挿。,Exploratory B-cell-depleting-therapy scenario applying a hospitalization aIRR of 5.10.
high_risk_death_qaly_age75,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,急性死亡時の残存QALYを年齢75歳proxyで校正。,Mortality-QALY scenario calibrated to an age-75 proxy cohort.
high_risk_death_qaly_age85,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,急性死亡時の残存QALYを年齢85歳proxyで校正。,Mortality-QALY scenario calibrated to an age-85 proxy cohort.
high_risk_overall_rr033,high_risk_overall_rr,symptomatic_mediation_profile,public_healthcare_payer,no,高リスク群の無予防リスクに全体集団RR 0.33を適用する保守的効果シナリオ。,Conservative efficacy scenario applying the overall-trial risk ratio of 0.33 to the high-risk untreated risk.
high_risk_postacute_through6m,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,感染後utility差を6か月までに限定し、6-12か月区間を除外。,Conservative post-acute scenario excluding the recalled utility difference from months 6 to 12.
high_risk_postacute_half,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,感染後1年QALY損失を主解析値の50%に縮小。,Conservative attenuation scenario using 50% of the base-case post-acute QALY loss.
high_risk_breakthrough_treatment_50pct,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,breakthrough症例の50%にエンシトレルビル治療を行う探索的整合性シナリオ。,"Exploratory internally consistent scenario with 50% ensitrelvir treatment uptake after symptomatic breakthrough, adding acquisition cost and using a weighted hospitalization risk. Additional consultation, testing, and dispensing costs associated with post-diagnosis treatment are not included."
high_risk_secondary_cases_0p2,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,直接症候性症例1例当たり0.2例の追加下流症候性症例を仮定する静的境界解析。,"Exploratory static bounding analysis with 0.2 additional downstream symptomatic cases per direct symptomatic case. Downstream cases are assigned the same high-risk conditional hospitalization and post-acute outcomes, making this an upper-bound static calculation."
high_risk_secondary_cases_0p5,high_risk,symptomatic_mediation_profile,public_healthcare_payer,no,直接症候性症例1例当たり0.5例の追加下流症候性症例を仮定する静的境界解析。,"Exploratory static bounding analysis with 0.5 additional downstream symptomatic cases per direct symptomatic case. Downstream cases are assigned the same high-risk conditional hospitalization and post-acute outcomes, making this an upper-bound static calculation."
