source_id,citation,year,jurisdiction,design,used_for,url,access_date,limitations
E01,"Hayden FG, et al. Ensitrelvir for Covid-19 Postexposure Prophylaxis in Household Contacts. N Engl J Med. 2026. doi:10.1056/NEJMoa2509306.",2026,multinational including Japan,Phase 3 double-blind randomized placebo-controlled trial,Arm-specific symptomatic COVID-19 risk; overall all-infection risk; safety; high-risk subgroup efficacy.,https://www.nejm.org/doi/full/10.1056/NEJMoa2509306,2026-08-25,No COVID-19-related hospitalizations or deaths; downstream severe outcomes cannot be estimated directly. Highly immune trial population.
E02,"Shionogi & Co., Ltd. Approval of Xocova for prevention of COVID-19 in Japan. Press release, March 23, 2026.",2026,Japan,Official regulatory and price announcement,"Approved prevention indication, dose, tablet price, course acquisition cost.",https://www.shionogi.com/jp/ja/news/2026/03/20260323_1.html,2026-08-25,Manufacturer source; drug price should be rechecked against the official NHI price list at analysis lock.
E03,"Center for Outcomes Research and Economic Evaluation for Health. Guideline for Preparing Cost-Effectiveness Evaluation to the Central Social Insurance Medical Council. Approved January 16, 2026.",2026,Japan,Official methodological guideline,"Perspective, QALY outcome, Japanese utility preference, costing, discounting, modeling, reproducibility, scenario and probabilistic sensitivity analysis.",https://c2h.niph.go.jp/tools/guideline/guideline_en_2026.pdf,2026-08-25,English version is a translation; Japanese version prevails if discrepancies arise.
E04,"Yuasa A, Matsuda H, Fujii Y, et al. Cost-effectiveness Analysis of Nirmatrelvir/Ritonavir Compared with Molnupiravir in Patients at High Risk for Progression to Severe COVID-19 in Japan. JHEOR. 2025;12(1):75-85. doi:10.36469/001c.129067.",2025,Japan,Published Japanese hybrid decision-tree and Markov CEA with EHR and claims cost inputs,"Hospitalization and mortality inputs, ICU and ventilation probabilities, acute costs, length of stay, acute utility decrements, oral antiviral administration cost, model precedent.",https://jheor.org/article/129067-cost-effectiveness-analysis-of-nirmatrelvir-ritonavir-compared-with-molnupiravir-in-patients-at-high-risk-for-progression-to-severe-covid-19-in-japan,2026-08-25,Not a PEP study. Some clinical inputs are transferred from other COVID-19 contexts and price year is 2023.
E05,"Iba A, Hosozawa M, Hori M, et al. Prevalence of and Risk Factors for Post-COVID-19 Condition during Omicron BA.5-Dominant Wave, Japan. Emerg Infect Dis. 2024;30(7). doi:10.3201/eid3007.231723.",2024,Japan,Population-based case-control questionnaire study,"PCC probability: 11.8% among cases, 5.5% among controls, attributable excess 6.3 percentage points.",https://wwwnc.cdc.gov/eid/article/30/7/23-1723_article,2026-08-25,Self-reported symptoms; adults 20 to 69 years; not specific to high-risk or hospitalized patients; duration and treatment cost not estimated.
E06,"Tsuzuki S, Miyazato Y, Terada M, Morioka S, Ohmagari N, Beutels P. Impact of long-COVID on health-related quality of life in Japanese COVID-19 patients. Health Qual Life Outcomes. 2022;20:125. doi:10.1186/s12955-022-02033-6.",2022,Japan,Cross-sectional patient-reported HRQoL study,PCC utility decrement as transferred in the Japanese CEA.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9388960/,2026-08-25,Earlier pandemic period; cross-sectional; the 0.027 decrement is a model-derived contrast rather than a direct PEP estimate.
E07,"Kamata K, Honda H, Tokuda Y, et al. Post-COVID health-related quality of life and somatic symptoms: a national survey in Japan. Am J Med Sci. 2023;366(2):114-123. doi:10.1016/j.amjms.2023.04.018.",2023,Japan,National internet survey using EQ-5D-5L,Baseline and acute COVID-19 utility values transferred through the Japanese CEA.,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016%2Fj.amjms.2023.04.018,2026-08-25,Cross-sectional and not designed for PEP; severity mapping from oxygen requirement to model states is approximate.
E08,"Uno S, Goto R, Honda K, et al. Healthcare costs for hospitalized COVID-19 patients in a Japanese university hospital: a cross-sectional study. Cost Eff Resour Alloc. 2023;21:43. doi:10.1186/s12962-023-00453-9.",2023,Japan,Single-center claims-based hospital cost study,Hospitalization cost input and source-traceability comparison.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10351157/,2026-08-25,Single-center 2021 university-hospital cohort; nominal source-year cost was not fully re-priced to 2026; generalizability to current practice is limited.
E09,"Ministry of Health, Labour and Welfare. The 23rd Complete Life Tables, Japan.",2022,Japan,Official life table,Recommended source for replacing the scalar remaining-QALY-per-death parameter with age-sex specific estimates.,https://www.mhlw.go.jp/toukei/saikin/hw/life/23th/index.html,2026-08-25,The repository prototype leaves cohort-specific QALYs lost per death as an editable scalar because target age-sex distribution has not yet been fixed.
E10,"Shionogi Inc. New England Journal of Medicine publishes SCORPIO-PEP results. Press release, May 2026.",2026,United States / global,Official manufacturer summary of the peer-reviewed trial,Cross-check of exact high-risk subgroup counts: 9/382 versus 37/374.,https://www.shionogi.com/us/en/news/2026/05/new-england-journal-of-medicine-publishes-shionogi-study-demonstrating-ensitrelvir-prevents-covid-19-following-exposure.html,2026-08-25,Manufacturer source; primary publication remains the preferred citation.
